hour,mean,min,max,q25,q75,alpha,beta,request_number
0,649.3414700854702,0.0,1136.0,416.0,1024.0,3.0205010367726643,229.07498795463638,65
1,662.3335598290598,0.0,1136.0,416.0,1024.0,3.2396749245310663,214.33692393869256,65
2,645.9812008547008,0.0,1138.7497222222223,389.8311111111111,1024.0,2.965903058657899,228.34136596535427,65
3,653.8688846153846,0.0,1137.806111111111,408.26666666666665,1024.0,2.263508663266056,298.04464101793917,65
4,653.0686452991453,0.0,1143.608611111111,416.0911111111111,1021.8719444444444,2.9638956103925502,231.0029876351638,65
5,660.6458076923077,0.0,1139.2091666666668,443.0488888888889,1019.911111111111,1.9707733302045505,340.4594471388848,65
6,658.1427222222222,0.0,1130.4044444444444,434.29833333333335,1016.0,1.6197779021136596,412.6653421958099,65
7,649.583311965812,0.0,1127.1455555555556,375.73555555555555,1024.0,1.493995269237047,441.58978599188606,65
8,629.089200854701,0.0,1047.8955555555556,407.7108333333333,1016.0,1.3370060813057716,477.87271019295815,65
9,645.5419487179487,0.9774999999999999,1047.96,361.1388888888889,1016.0,1.5627397467328072,413.08346451645065,65
10,637.681188034188,0.0,1043.6022222222223,416.0,1016.0,1.5980432396016988,405.273737623422,65
11,635.2351725589226,0.0,1039.908888888889,357.19875,1016.0,1.5336844624312709,420.56109790994645,66
12,649.7325505050507,0.0,1036.151111111111,423.43145833333335,1016.0,3.117813368119232,211.59972006130883,66
13,633.2835395622894,0.0,1041.5952777777777,400.48,1016.0,2.8250709478732006,227.61423522193417,66
14,624.1922222222223,0.0,1040.0,381.33333333333337,1016.0,1.8955478336526193,334.35989756369804,66
15,630.3840151515152,0.0,1039.9822222222222,344.19208333333336,1016.0,2.244170799374547,289.6764879955568,66
16,655.70747008547,0.0,1044.84,370.9688888888889,1024.0,3.295456512749278,205.28979145366262,65
17,641.5570042735042,0.0,1151.68,352.0,1021.2933333333333,3.805727031626733,176.7336646942725,65
18,667.9711367521368,0.0,1152.0,416.0,1024.0,3.438179886938848,203.68111728209462,65
19,694.4360427350427,0.0,1152.0,416.0,1024.0,4.975974305331867,146.3106001086546,65
20,694.2092521367521,0.0,1152.0,416.0,1024.0,5.137664043870183,141.65971464595506,65
21,667.4245427350428,0.0,1045.7955555555554,416.0,1024.0,5.361991426732757,132.63543894815575,65
22,643.1878504273504,0.0,1040.0,416.0,1024.0,3.3441509959266016,204.94412595280804,65
23,629.9466367521367,0.0,1060.8,379.6622222222222,1024.0,3.099253089587389,220.1956955718224,65
